Area,Title,Description,KPI or Dashboard,Type,Time Series?,Indicator,Primary Source System,Mart / View,Update Frequency,Audience,FERPA Sensitive?,Calculation Logic,Known Caveats,owner,declared_consumers,freshness_sla,lifecycle_status
Admissions,Counselor Caseload & Activity,"Contacts per counselor, visit volume, and event attendance vs. targets.",KPI,Operational,No,N/A,Slate,mart_admissions_funnel,Weekly,Admissions Director,No,Count of distinct counselor_ref values for applicants with enrolled_flag=true per program × term. Column: active_counselor_count.,"Counts only counselors with at least one enrolled student; visit volume, event attendance, and contacts-per-counselor metrics are not in this mart.",,,,draft
Admissions,Cost Per Enrolled Student,Total recruitment budget ÷ new enrolled headcount. Compare by channel and cohort.,KPI,Financial,No,N/A,Slate / GL,mart_admissions_funnel,Term,"VP Enrollment, CFO",No,Total recruitment budget (from GL — not in mart) divided by enrolled_count. Mart provides enrolled_count denominator only; numerator requires external GL cost source.,Budget/cost numerator not in mart; full KPI requires GL integration.,,,,draft
Admissions,Application Processing Time,Avg. days from complete application to decision letter. Affects competitor yield.,KPI,Operational,No,N/A,Slate,mart_admissions_funnel,Weekly,Admissions Director,No,avg_days_app_to_complete: mean days from application start to complete status; avg_days_complete_to_decision: mean days from complete to admission decision; avg_days_inquiry_to_decision: mean days from first inquiry to decision. All averaged per program × term excluding nulls.,,,,,draft
Admissions,CRM Engagement Score,"Composite of email opens, portal logins, campus visits from Slate.",KPI,Operational,No,N/A,Slate,mart_admissions_funnel,Weekly,Admissions Counselors,No,NOT YET COMPUTABLE — engagement_score_avg is hardcoded null::numeric in mart_admissions_funnel pending confirmation of stg_slate__applications.engagement_score.,,,,,draft
Admissions,Year-over-Year Funnel Comparison,Each funnel stage compared to same week/month of prior cycle. Reveals if class is building faster or slower.,KPI,Strategic,Yes,Leading,Slate,snap_admissions_weekly,Weekly,"Admissions Director, VP Enrollment",No,"Time-series view of admissions funnel metrics — same inquiry_count, app_complete_count, admit_count, deposit_count, enrolled_count, inquiry_to_app_rate, admit_rate, yield_rate as mart_admissions_funnel base KPIs; one row per program × entry term × snapshot_week_num (weeks since Oct 1 of entry-year cycle start; negative = pre-Oct 1 activity).",snapshot_week_num is calculated from current_date() at each weekly run; prior-year comparison requires BI-layer self-join on matching snapshot_week_num across different entry terms.,,,,draft
Admissions,Inquiry-to-App Conversion Trend,Rolling 4-term trend of inquiry-to-application rate.,KPI,Strategic,Yes,Lagging,Slate,snap_admissions_weekly,Term,VP Enrollment,No,Time-series view of Inquiry-to-Application Rate — same calculation as base KPI (inquiry_to_app_rate); one row per program × entry term × snapshot_week_num.,,,,,draft
Admissions,Yield Rate Trend (5-Year),"Admit-to-enroll yield tracked annually. Segment by program, geo, and merit band.",KPI,Strategic,Yes,Lagging,Slate,snap_admissions_weekly,Annual,"VP Enrollment, President",No,Time-series view of Admit-to-Yield Rate — same calculation as base KPI (yield_rate); one row per program × entry term × snapshot_week_num.,,,,,draft
Admissions,Deposit Pace vs. Prior Year,Cumulative deposits by date within cycle overlaid with same date-range from prior 2 years.,KPI,Strategic,Yes,Leading,Slate,snap_admissions_weekly,Daily (spring),"Admissions Director, VP Enrollment",No,Time-series view of Deposit Conversions — deposit_count (applicants in deposited or enrolled stage) per program × entry term × snapshot_week_num; cumulative within each entry-term cycle.,,,,,draft
Admissions,Application Volume Trend,"Total apps received per term over 5+ years, segmented by student type.",KPI,Strategic,Yes,Lagging,Slate,snap_admissions_weekly,Annual,"VP Enrollment, President",No,Time-series view of application volume — app_started_count (applicants in applied/complete/admitted/deposited/enrolled/denied/withdrawn_app) and app_complete_count per program × entry term × snapshot_week_num.,,,,,draft
Admissions,Stealth Applicant % Trend,Year-over-year change in % of apps from students with no prior CRM contact.,KPI,Strategic,Yes,Lagging,Slate,snap_admissions_weekly,Annual,VP Enrollment,No,Time-series view of Stealth Applicant % — stealth_app_count and implied stealth_app_pct; same logic as base KPI per program × entry term × snapshot_week_num.,,,,,draft
Admissions,Avg Academic Profile Trend,Mean GPA and test scores of enrolled cohort tracked year-over-year.,KPI,Strategic,Yes,Lagging,Slate / Jenzabar:Workday:Banner,snap_admissions_weekly,Annual,"VP Enrollment, Provost",No,"NO CONFIDENT MATCH — snap_admissions_weekly contains funnel stage counts and conversion rates only; avg_hs_gpa, avg_sat_total, and avg_act_composite are not present in this snapshot.",,,,,draft
Admissions,Geographic Diversification Trend,Out-of-state and international % of enrolled class over 5 years.,KPI,Strategic,Yes,Lagging,Jenzabar:Workday:Banner,snap_enrollment_term,Annual,"VP Enrollment, CFO",No,NOT YET COMPUTABLE — snap_enrollment_term has a null-stub residency_type column; geographic tier breakdown is not populated and no geographic_diversity_index column exists in this model.,,,,,draft
Admissions,Feeder School Concentration Trend,"% of enrolled students from top 10 feeder high schools, tracked annually.",KPI,Strategic,Yes,Lagging,Slate,snap_admissions_weekly,Annual,VP Enrollment,No,NO CONFIDENT MATCH — snap_admissions_weekly aggregates at program × entry term grain; feeder_concentration_index is in mart_admissions_class_profile (not snap_admissions_weekly) and no feeder school columns are present in the snapshot.,,,,,draft
Admissions,Funnel Pipeline (Real-Time),Live funnel: inquiry → app → admit → deposit vs. prior year and goal.,Dashboard,Operational,No,N/A,Slate,mart_admissions_funnel,Daily,"Admissions Director, VP Enrollment",No,"COMPOSITE — draws inquiry_count, app_started_count, app_complete_count, admit_count, deposit_count, enrolled_count, inquiry_to_app_rate, admit_rate, yield_rate, deposit_to_enroll_rate from mart_admissions_funnel at program × entry term grain. Needs manual definition.",,,,,draft
Admissions,Yield Management,"Yield rate by program, aid sensitivity, competitor overlap, melt rate.",Dashboard,Strategic,No,N/A,Slate / PowerFAIDS,mart_admissions_funnel,Term,"VP Enrollment, Financial Aid Director",No,"COMPOSITE — draws yield_rate, deposit_count, enrolled_count, admit_rate from mart_admissions_funnel; aid sensitivity (yield by aid band) requires mart_aid_leveraging which is a stub; competitor overlap not in any current mart. Needs manual definition.",,,,,draft
Admissions,Class Profile Builder,"GPA distribution, geo heat map, diversity metrics, feeder schools.",Dashboard,Strategic,No,N/A,Slate / Jenzabar:Workday:Banner,mart_admissions_class_profile,Term,"VP Enrollment, Provost",No,"COMPOSITE — draws avg_hs_gpa, avg_sat_total, avg_act_composite, test_optional_rate (academic profile); geographic_diversity_index, in_state_count, out_of_state_count, international_count (geographic); first_gen_rate, urm_rate (diversity); feeder_concentration_index from mart_admissions_class_profile at program × entry term grain. Needs manual definition.","test_optional_flag is hardcoded false in mart_admissions_class_profile; hs_ceeb_code, hs_name, and hs_state are null stubs — feeder concentration index uses null CEEB codes.",,,,draft
Admissions,Counselor Activity Tracker,"Travel schedule, event ROI, territory performance.",Dashboard,Operational,No,N/A,Slate,mart_admissions_funnel,Weekly,Admissions Director,No,"COMPOSITE — draws active_counselor_count from mart_admissions_funnel; travel schedule, event ROI, and territory performance require external data not in this mart. Needs manual definition.",,,,,draft
Admissions,Cycle-over-Cycle Funnel Tracker,Live current cycle paced against prior 2 years at same date.,Dashboard,Operational,Yes,Leading,Slate,snap_admissions_weekly,Daily (spring),"Admissions Director, VP Enrollment",No,"COMPOSITE — draws funnel stage counts and conversion rates (inquiry_count, app_complete_count, admit_count, deposit_count, enrolled_count, yield_rate) from snap_admissions_weekly; indexed by snapshot_week_num for same-week prior-cycle comparison. Needs manual definition.",snapshot_week_num is weeks since Oct 1 of entry year; negative values indicate pre-Oct 1 cycle activity.,,,,draft
Admissions,5-Year Funnel Trend Report,Annual view of full funnel metrics from each of the last 5 entry terms.,Dashboard,Strategic,Yes,Lagging,Slate,snap_admissions_weekly,Annual,"VP Enrollment, President, Board",No,COMPOSITE — draws funnel counts and conversion rates from snap_admissions_weekly across the most recent 5 entry-term academic years. Needs manual definition.,,,,,draft
Admissions,Territory Performance Over Time,Counselor/territory yield and conversion rates across multiple cycles.,Dashboard,Operational,Yes,Lagging,Slate,snap_admissions_weekly,Annual,Admissions Director,No,NO CONFIDENT MATCH — snap_admissions_weekly aggregates at program × entry term grain with no counselor or territory dimension; territory-level yield and conversion breakdown is not available in this mart.,,,,,draft
Registration,Section Fill Rate,Enrolled ÷ capacity per section. Flag sections below 60% or over 90%.,KPI,Operational,No,N/A,Jenzabar:Workday:Banner,mart_section_utilization,Term,"Registrar, Deans",No,NOT YET COMPUTABLE — fill_rate is null stub in mart_section_utilization; requires section_capacity column not yet added to dim_course_section. enrolled_count per section is available.,,,,,draft
Registration,Waitlist Conversion Rate,% of waitlisted students who ultimately enrolled. High rates signal under-supply.,KPI,Operational,No,N/A,Jenzabar:Workday:Banner,mart_section_utilization,Term,Registrar,No,waitlisted_count per section divided by (enrolled_count + waitlisted_count) per section; null when both enrolled and waitlisted are zero. Column: waitlist_pressure_rate.,"This is a demand pressure proxy, not true waitlist-to-enrollment conversion; L→R registration status transition tracking is not yet implemented — SQL comment notes 'Rename when true conversion logic is built.'",,,,draft
Registration,Course Demand vs. Capacity Gap,Unmet demand by department/course. Drives section expansion decisions.,KPI,Strategic,No,N/A,Jenzabar:Workday:Banner,mart_section_utilization,Term,"Registrar, Deans, Provost",No,NOT YET COMPUTABLE — capacity_gap is null stub (section_capacity not yet in dim_course_section). total_demand_count (enrolled + waitlisted + dropped per section) is available as a raw-demand proxy.,,,,,draft
Registration,Credits per FTE,Avg. credit hours per full-time equivalent student. Tied to tuition revenue and SAP.,KPI,Financial,No,N/A,Jenzabar:Workday:Banner,mart_enrollment_census,Term,"CFO, Registrar",No,"total_registered_hours divided by fte per (program, student_type, load_status, term) group. FTE = IPEDS formula: UG registered_hours / 15; Graduate registered_hours / 9. Denominator uses NULLIF to avoid divide-by-zero. Column: credits_per_fte.",CE enrollments appear as load_status='unknown' and contribute to total_registered_hours but use the undergraduate divisor (15) in the FTE calculation.,,,,draft
Registration,Add/Drop Activity Rate,Volume and timing of schedule changes by term.,KPI,Operational,No,N/A,Jenzabar:Workday:Banner,mart_section_utilization,Term (during add/drop),Registrar,No,Count of enrolled students with has_multiple_registration_attempts=true for the section divided by enrolled_count per section. Column: add_drop_rate.,"has_multiple_registration_attempts is a binary flag — a student who added/dropped once counts the same as one who did so multiple times; tracks students with churn, not raw transaction count.",,,,draft
Registration,Withdrawal Rate,% of enrolled students who fully withdraw mid-term.,KPI,Compliance,No,N/A,Jenzabar:Workday:Banner,mart_enrollment_census,Term,"Registrar, VP Enrollment",Yes,"Count of distinct student_id values with is_withdrawn=true divided by total distinct enrolled student_id values per (program, student_type, load_status, term) group. Column: withdraw_rate.",Uses is_withdrawn (sentinel-cleaned); withdrawal_code '2' is excluded from withdrawal identification in upstream fact_student_term per SQL comment.,,,,draft
Registration,Incomplete (I) Grade Rate,% of students receiving incompletes. Tracks unresolved by semester and school.,KPI,Operational,No,N/A,Jenzabar:Workday:Banner,mart_section_utilization,Term,"Registrar, Deans",Yes,Count of enrollment rows where dim_grade.is_incomplete=true divided by enrolled_count per section. Column: incomplete_rate.,,,,,draft
Registration,Time-to-Degree Progress,Credits earned vs. credits needed at each enrollment milestone.,KPI,Strategic,No,N/A,Jenzabar:Workday:Banner,mart_academic_progress,Term,"Registrar, Advisors, Provost",Yes,"credits_remaining = max(credits_to_degree − cumulative_earned_hours, 0) per student. expected_credits_at_level maps UG class level to milestones: FR=0, SO=30, JR=60, SR=90 expected credits. credits_to_degree defaults to 120 (UG), 36 (GR), 18 (certificate) when not on dim_program.","Default credits_to_degree values (120 UG, 36 GR, 18 cert) are used when dim_program.required_hours is not populated; transfer_attempted_hours and transfer_earned_hours are tracked separately but both are included in cumulative_earned_hours for remaining-credits computation.",,,,draft
Registration,Graduation Rate (4yr / 6yr),IPEDS-reported completion rates. Critical for federal reporting and rankings.,KPI,Compliance,No,N/A,Jenzabar:Workday:Banner / NSC,mart_retention_cohort_summary,Annual,"Provost, VP Enrollment, President",No,"yr4_grad_rate and yr6_grad_rate from mart_retention_cohort_summary. Columns: yr4_grad_rate (pct_graduated at years_since_entry=4), yr6_grad_rate (pct_graduated at years_since_entry=6). Pivots snap_cohort_milestone to IPEDS-standard grain.",NSC not integrated; transfer-outs counted as stopped out. graduated_to_date uses dim_student.is_graduated (in-institution only) — will undercount graduates who transferred out and completed elsewhere.,,,,draft
Registration,On-Track Graduation %,% of enrolled students projected to graduate on time based on current credit pace.,KPI,Strategic,No,N/A,Jenzabar:Workday:Banner,mart_academic_progress,Term,"Registrar, Advisors",Yes,"yr4_grad_rate and yr6_grad_rate from mart_retention_cohort_summary. Columns: yr4_grad_rate (pct_graduated at years_since_entry=4), yr6_grad_rate (pct_graduated at years_since_entry=6). Pivots snap_cohort_milestone to IPEDS-standard grain.",NSC not integrated; transfer-outs counted as stopped out. graduated_to_date uses dim_student.is_graduated (in-institution only) — will undercount graduates who transferred out and completed elsewhere.,,,,draft
Registration,Classroom Utilization Rate,Hours in use ÷ available hours per room. Drives capital and scheduling decisions.,KPI,Financial,No,N/A,Jenzabar:Workday:Banner,mart_section_utilization,Term,"Registrar, Facilities",No,NOT YET COMPUTABLE — fill_rate is null stub and section_capacity not yet in dim_course_section; room dimension (hours-in-use / available-hours) not yet built per SQL comment.,,,,,draft
Registration,Faculty Teaching Load Compliance,Actual vs. contracted credit hours per faculty.,KPI,Compliance,No,N/A,Jenzabar:Workday:Banner / Workday,mart_section_utilization,Term,"Registrar, HR, Deans",No,NO CONFIDENT MATCH — mart_section_utilization has faculty_key per section row but dim_faculty join is broken pending FK resolution (SQL comment); contracted credit hours not modeled; actual-vs-contracted load cannot be computed.,,,,,draft
Registration,Registration Holds at Start of Term,% of students with active holds blocking registration.,KPI,Operational,No,N/A,Jenzabar:Workday:Banner,mart_registration_holds,Weekly (pre-term),"Registrar, Bursar, Advising",Yes,"mart_registration_holds provides one row per active hold instance with is_active, blocks_registration, hold_code, and hold_description flags. Percentage of students with blocking holds requires joining to enrollment mart for a headcount denominator; not pre-aggregated in this mart.",Percentage rate (% of students with active registration-blocking holds) requires joining enrolled headcount from mart_enrollment_census; mart_registration_holds is hold-level grain.,,,,draft
Registration,Cohort Credit Accumulation Curve,Avg cumulative credits by term number for each entering cohort.,KPI,Strategic,Yes,Lagging,Jenzabar:Workday:Banner,snap_cohort_milestone,Annual,"Provost, Advising, Registrar",Yes,"avg_credits_cumulative = mean of cumulative_attempted_hours for students with is_enrolled_at_milestone=1 per (entry_term, measurement_term, program, cohort_type, years_since_entry) group. Column: avg_credits_cumulative.","Average computed over enrolled survivors only (is_enrolled_at_milestone=1); students who stopped out before the measurement term are excluded — curve reflects retained cohort members, not the full original cohort.",,,,draft
Registration,Term GPA Trend by Cohort,Rolling avg term GPA for each cohort as they progress.,KPI,Strategic,Yes,Leading,Jenzabar:Workday:Banner,snap_cohort_milestone,Term,"Advising, Provost",Yes,"avg_cum_gpa = mean of cumulative_gpa for students enrolled at each fall measurement milestone per (entry_term, measurement_term, program, cohort_type) group. Column: avg_cum_gpa.",Survivor bias — only students enrolled at the fall measurement term contribute; stop-outs (who may have lower GPAs) are excluded from the average.,,,,draft
Registration,W/I Grade Rate Trend,Withdrawal and incomplete grade rates per term over 5+ years by department.,KPI,Compliance,Yes,Lagging,Jenzabar:Workday:Banner,mart_section_utilization,Annual,"Registrar, Deans, Provost",No,w_rate = grade_w_count / enrolled_count per section (grade_code LIKE 'W%'); incomplete_rate = grade_i_count / enrolled_count per section (dim_grade.is_incomplete=true). Time-series trend derived by querying across multiple terms using term_acad_yr at department level.,Both rates are at section grain; department-level trend requires BI-layer aggregation: sum grade_w_count and enrolled_count across sections grouped by department_code and term.,,,,draft
Registration,On-Track Graduation % Trend,% of students projected to graduate on time tracked across cohorts at same milestone.,KPI,Strategic,Yes,Leading,Jenzabar:Workday:Banner,snap_cohort_milestone,Annual,"Registrar, Provost",No,"Time-series view of On-Track Graduation % — pct_on_track = sum(is_enrolled_at_milestone=1 AND on_track_gpa_flag=true) / sum(is_enrolled_at_milestone) per (entry_term, measurement_term, program, cohort_type) across years_since_entry values. Column: pct_on_track.",on_track_gpa_flag is GPA-based only; survivor bias applies — enrolled survivors only contribute to the rate.,,,,draft
Registration,Average Time-to-Degree Trend,"Actual semesters to graduation for completers, by cohort entry year.",KPI,Strategic,Yes,Lagging,Jenzabar:Workday:Banner,snap_cohort_milestone,Annual,"Provost, VP Enrollment",No,NO CONFIDENT MATCH — snap_cohort_milestone tracks the proportion of a cohort graduated at milestone years (pct_graduated) but does not store average semesters elapsed for completers; a completer's exact graduation term relative to entry is not captured at this grain.,,,,,draft
Registration,Section Fill Rate Trend by Dept,Rolling fill rates per department per term flagging sustained over/under-enrollment.,KPI,Operational,Yes,Lagging,Jenzabar:Workday:Banner,mart_section_utilization,Term,"Registrar, Deans",No,NOT YET COMPUTABLE — fill_rate is null stub in mart_section_utilization (section_capacity not yet in dim_course_section); fill-rate trend cannot be computed.,,,,,draft
Registration,Waitlist Volume Trend,Total waitlisted seats per term over time.,KPI,Operational,Yes,Leading,Jenzabar:Workday:Banner,mart_section_utilization,Term,"Registrar, Deans",No,Time-series view of waitlist volume — sum of waitlisted_count across sections grouped by department_code and term_acad_yr from mart_section_utilization. Column: waitlisted_count.,,,,,draft
Registration,Credits-per-FTE Trend,Institution-wide avg credits per FTE per term. Declining trend signals part-time drift.,KPI,Financial,Yes,Lagging,Jenzabar:Workday:Banner,snap_enrollment_term,Term,"CFO, Registrar",No,NOT YET COMPUTABLE — fte is a null stub (null::numeric) in snap_enrollment_term; FTE computation requires fact_student_term load_status integration not yet joined in this model.,,,,,draft
Registration,Course Demand & Supply,"Section fill rates, waitlist heat map, demand gaps by dept.",Dashboard,Operational,No,N/A,Jenzabar:Workday:Banner,mart_section_utilization,Term,"Registrar, Deans",No,"COMPOSITE — draws enrolled_count, waitlisted_count, total_demand_count, capacity_gap (null stub), fill_rate (null stub) from mart_section_utilization at section × term grain. Section fill rate and capacity gap unavailable until section_capacity is populated. Needs manual definition.",fill_rate and capacity_gap are null stubs.,,,,draft
Registration,Student Academic Progress,"Credit pace, W/I grade tracking, on-track % by cohort.",Dashboard,Strategic,No,N/A,Jenzabar:Workday:Banner,mart_academic_progress,Term,"Advisors, Registrar",Yes,"COMPOSITE — draws registered_hours, cumulative_earned_hours, credits_remaining, on_track_gpa_flag, is_sap_compliant, withdrawal_code, cum_gpa_band, class_level_code from mart_academic_progress at student row grain. Needs manual definition.",student_key is exposed at row level in mart_academic_progress — FERPA role-based access control required before client-facing delivery.,,,,draft
Registration,Room & Faculty Utilization,"Room fill by time block, faculty load, scheduling conflicts.",Dashboard,Operational,No,N/A,Jenzabar:Workday:Banner / Workday,mart_section_utilization,Term,"Registrar, Facilities, HR",No,COMPOSITE — mart_section_utilization provides enrolled_count per section and faculty_key; fill_rate is null stub; dim_faculty join broken pending FK resolution; room-level hours-in-use not built. Mostly unavailable. Needs manual definition.,fill_rate null stub; dim_faculty join broken; room utilization dimension not built.,,,,draft
Registration,Registrar Operations,"Holds report, add/drop volume, transcript requests, IPEDS readiness.",Dashboard,Operational,No,N/A,Jenzabar:Workday:Banner,mart_registration_holds,Weekly,Registrar,No,"COMPOSITE — draws is_active, blocks_registration, blocks_transcript, hold_code, hold_description, placed_date, student_id from mart_registration_holds at hold-level grain. Needs manual definition.",mart_registration_holds is hold-level grain; aggregate counts (% of students with holds) require joining enrollment mart for denominator.,,,,draft
Registration,Cohort Academic Progress Curves,Multi-cohort line chart: credit accumulation and GPA by term number.,Dashboard,Strategic,Yes,Lagging,Jenzabar:Workday:Banner,snap_cohort_milestone,Annual,"Provost, VP Enrollment",No,"COMPOSITE — draws avg_credits_cumulative, avg_cum_gpa, pct_still_enrolled across years_since_entry values per (entry_term, program, cohort_type) from snap_cohort_milestone. Needs manual definition.",,,,,draft
Registration,Course Demand Trending,Dept-level section fill rates and waitlist volumes over 4–6 terms.,Dashboard,Operational,Yes,Lagging,Jenzabar:Workday:Banner,mart_section_utilization,Annual,"Registrar, Deans",No,"COMPOSITE — draws waitlisted_count, dropped_count, total_demand_count, add_drop_rate from mart_section_utilization grouped by department_code and term_acad_yr for multi-term trending. Needs manual definition.",fill_rate is null stub.,,,,draft
Financial Aid,Tuition Discount Rate,Institutional aid ÷ gross tuition billed. Industry benchmark: 40–55% at small privates.,KPI,Financial,No,N/A,PowerFAIDS / Jenzabar:Workday:Banner,mart_enrollment_census_ntr,Term,"CFO, President, Board",No,"discount_rate from mart_enrollment_census_ntr. Column: discount_rate = total_aid_disbursed / gross_tuition_billed per term. Grain: one row per (institution_id, term_key). DEMEAU synthetic data: account_value=0 → gross_tuition_billed=0, but production data will populate correctly.","DEMEAU synthetic data has account_value=0 → gross_tuition_billed=0 in sbcust_rec, but model logic is complete and will activate correctly with real school billing data.",,,,draft
Financial Aid,Net Tuition Revenue per Student,Gross tuition minus all institutional aid per enrolled FTE.,KPI,Financial,No,N/A,PowerFAIDS / Jenzabar:Workday:Banner,mart_enrollment_census_ntr,Term,"CFO, President, Board",No,"ntr_per_student from mart_enrollment_census_ntr. Column: ntr_per_student = net_tuition_revenue / enrolled_headcount per term. Denominator from mart_enrollment_census aggregated to (institution, term) grain.",DEMEAU synthetic data has zero billing values; production data will populate correctly.,,,,draft
Financial Aid,Aid Budget vs. Actuals,Institutional aid awarded vs. budgeted by term and cohort type.,KPI,Financial,No,N/A,PowerFAIDS,mart_aid_summary,Term,"Financial Aid Director, CFO",No,"ntr_per_student from mart_enrollment_census_ntr. Column: ntr_per_student = net_tuition_revenue / enrolled_headcount per term. Denominator from mart_enrollment_census aggregated to (institution, term) grain.",DEMEAU synthetic data has zero billing values; production data will populate correctly.,,,,draft
Financial Aid,Avg Institutional Award per Student,"Mean grant/scholarship award by program, merit band, and need tier.",KPI,Financial,No,N/A,PowerFAIDS,mart_aid_summary,Term,Financial Aid Director,No,"Sum of total_inst_offered (institutional aid rows only) divided by count of distinct students with total_inst_offered > 0 per (program, term). Column: avg_inst_award_per_recipient.",Denominator is students with at least one institutional aid award — students with only federal or state aid are excluded from the denominator.,,,,draft
Financial Aid,Leveraging Efficiency,Aid dollars spent per enrolled student vs. marginal net revenue gained.,KPI,Strategic,No,N/A,PowerFAIDS / Jenzabar:Workday:Banner,mart_aid_leveraging,Term,"VP Enrollment, CFO",No,"merit_aid_total / total_inst_aid from mart_aid_leveraging per (term_key, program_key). Core leveraging metrics (merit vs. need split, aid band yield analysis) are functional. Columns: inst_aid_offered, merit_aid_total, need_based_aid_total, yield by aid_band. Unmet need and COA-based discount remain null until PowerFAIDS provides COA/EFC fields, but this does not block leveraging efficiency calculation.","Unmet need metrics (coa_amount, efc_amount-based calculations) await PowerFAIDS deposit; core leveraging metrics functional.",,,,draft
